Sep 10 2016 01: +0,7.03,1011
Sep 11 2016 01: +0,7.018,986
Sep 12 2016 01: +0,7.088,900
Sep 13 2016 01: +0,7.112,934
Sep 14 2016 01: +0,7.176,873
Sep 15 2016 01: +0,7.16,740
Sep 16 2016 01: +0,7.183,958
Sep 17 2016 01: +0,7.253,1184
Sep 18 2016 01: +0,7.034,734
Sep 19 2016 01: +0,7.321,925
Sep 20 2016 01: +0,7.144,958
Sep 21 2016 01: +0,7.131,782
Sep 22 2016 01: +0,7.424,635
Sep 23 2016 01: +0,7.121,581
Sep 24 2016 01: +0,7.107,686
Sep 25 2016 01: +0,7.032,1142
Sep 26 2016 01: +0,7.022,701
Sep 27 2016 01: +0,7.325,907
Sep 28 2016 01: +0,7.284,899
Sep 29 2016 01: +0,7.286,564
Sep 30 2016 01: +0,6.976,771
Oct 01 2016 01: +0,7.012,687
Oct 02 2016 01: +0,7.077,790
Oct 03 2016 01: +0,7.115,922
Oct 04 2016 01: +0,7.244,812
Oct 05 2016 01: +0,7.264,768
Oct 06 2016 01: +0,7.417,881
Oct 07 2016 01: +0,7.414,949
Oct 08 2016 01: +0,7.22,907
Oct 09 2016 01: +0,7.225,863
Oct 10 2016 01: +0,8.026,942
Oct 11 2016 01: +0,7.47,692
Oct 12 2016 01: +0,7.106,652
Oct 13 2016 01: +0,7.089,702
Oct 14 2016 01: +0,7.074,833
Oct 15 2016 01: +0,7.096,652
Oct 16 2016 01: +0,7.06,731
Oct 17 2016 01: +0,7.071,621
Oct 18 2016 01: +0,7.156,785
Oct 19 2016 01: +0,7.066,618
